LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z68,37.55,14,150.5,0.83,24,29.67,127,96.7,21.4,8.51,2.73,1.9
Z69,37.64,15,173.7,0.68,23.27,34,124,94,19.96,8.45,3,1.9
Z70,55.02,13,218.5,0.72,28.52,39.83,78,113.3,25.1,9.79,2.7,1.93
Z71,43.56,16,173.3,0.64,25.6,26.33,65,104.7,22.66,9.76,2.55,1.63
Z72,42.12,13,180.6,0.81,24,27.33,120,88,23.76,7.87,2.91,1.77
Z73,33.5,18,125.1,0.61,25.5,37.67,126,88.7,22.34,8.26,2.96,1.69
Z74,52.44,18,177.1,0.84,21.88,32.33,126,84.7,22.1,8.2,2.73,2.03
Z75,32.95,15,192.6,0.57,20,32,72,101,23.18,8.02,2.38,1.73
Z76,54.64,20,182.6,0.76,20.37,29.5,74,100.3,24.3,8.29,2.43,1.63
Z77,40.84,17,143.4,0.77,22.98,37.5,73,112.7,22.96,8.46,2.58,1.6
Z78,45.24,12,161.2,0.82,31.87,44.83,79,120.7,24.78,8.56,3.27,2.13
Z79,52.67,16,204.9,0.7,24.82,36,78,112,27.58,8.8,2.63,1.8
Z80,53.99,17,213,0.66,25.18,39.67,83,117,25.86,9.66,2.46,1.8
Z81,41.39,15,238.6,0.57,21.95,36.17,77,113,24.62,8.84,2.39,1.7
Z82,56.1,17,208.9,0.71,24.13,37.67,85,119.3,27.86,8.64,2.57,1.83
Z83,42.64,15,189.1,0.72,21.97,39.5,77,117,24.24,8.27,2.45,1.83
Z84,58.63,20,208.4,0.66,21.62,42.67,80,121.7,24.42,9.32,2.29,1.83
Z85,44.44,19,159,0.68,23.12,30.33,78,111.3,23.8,9.11,2.35,1.8
Z86,59.36,18,197.1,0.77,22.9,35.33,81,120.7,27.1,8.6,2.56,1.9
Z87,43.2,14,221.6,0.67,21.67,39,78,126.7,25.76,9.37,2.28,2.1
Z88,51.71,16,211.8,0.64,25.53,44.5,80,116.7,26.52,9.8,2.43,1.83
Z89,74.97,23,153.9,0.85,26.53,39.17,80,110.3,22.9,9.81,2.5,1.9
